State,Lockdown announced,Lockdown effective,1st city/county lockdown effective
Alabama," April 3 , 2020 ","April 4 , 2020","March 23 , 2020"
Alaska,"March 27 , 2020","March 28 , 2020","March 23 , 2020"
Arizona,"March 30 , 2020","March 31 , 2020","March 30 , 2020"
California,"March 19 , 2020","March 19 , 2020","March 16 , 2020"
Colorado,"March 25 , 2020","March 26 , 2020","March 18 , 2020"
Connecticut,"March 20 , 2020","March 23 , 2020","March 20 , 2020"
Delaware,"March 22 , 2020","March 24 , 2020","March 22 , 2020"
District of Columbia,"March 30 , 2020","April 1 , 2020","March 30 , 2020"
Florida,"April 1 , 2020","April 3 , 2020","March 23 , 2020"
Georgia,"April 1 , 2020","April 3 , 2020","March 19 , 2020"
Hawaii,"March 23 , 2020","March 25 , 2020","March 22 , 2020"
Idaho,"March 25 , 2020","March 25 , 2020","March 17 , 2020"
Illinois,"March 20 , 2020","March 21 , 2020","March 20 , 2020"
Indiana,"March 23 , 2020","March 24 , 2020","March 23 , 2020"
Kansas,"March 28 , 2020","March 30 , 2020","March 22 , 2020"
Kentucky,"March 23 , 2020","March 26 , 2020","March 23 , 2020"
Louisiana,"March 22 , 2020","March 23 , 2020","March 20 , 2020"
Maine,"March 31 , 2020","April 2 , 2020","March 23 , 2020"
Maryland,"March 30 , 2020","March 30 , 2020","March 30 , 2020"
Massachusetts,"March 23 , 2020","March 24 , 2020","March 23 , 2020"
Michigan,"March 23 , 2020","March 24 , 2020","March 23 , 2020"
Minnesota,"March 26 , 2020","March 27 , 2020","March 26 , 2020"
Mississippi,"April 1 , 2020","April 3 , 2020","March 21 , 2020"
Missouri,"April 3 , 2020","April 6 , 2020","March 22 , 2020"
Montana,"March 26 , 2020","March 28 , 2020","March 26 , 2020"
Nevada,"April 1 , 2020","April 1 , 2020","April 1 , 2020"
New Hampshire,"March 26 , 2020","March 27 , 2020","March 26 , 2020"
New Jersey,"March 21 , 2020","March 21 , 2020","March 21 , 2020"
New Mexico,"March 23 , 2020","March 23 , 2020","March 23 , 2020"
New York,"March 20 , 2020","March 22 , 2020","March 17 , 2020"
North Carolina,"March 27 , 2020","March 30 , 2020","March 24 , 2020"
Ohio,"March 22 , 2020","March 23 , 2020","March 22 , 2020"
Oregon,"March 23 , 2020","March 23 , 2020","March 22 , 2020"
Pennsylvania,"March 23 , 2020","April 1 , 2020","March 23 , 2020"
Rhode Island,"March 28 , 2020","March 28 , 2020","March 28 , 2020"
South Carolina,"April 6 , 2020","April 7 , 2020","March 25 , 2020"
Tennessee,"March 30 , 2020","March 31 , 2020","March 23 , 2020"
Texas,"March 31 , 2020","April 2 , 2020","March 22 , 2020"
Vermont,"March 24 , 2020","March 25 , 2020","March 24 , 2020"
Virginia,"March 30 , 2020","March 30 , 2020","March 30 , 2020"
Washington,"March 23 , 2020","March 23 , 2020","March 23 , 2020"
West Virginia,"March 23 , 2020","March 24 , 2020","March 23 , 2020"
Wisconsin,"March 24 , 2020","March 25 , 2020","March 23 , 2020"
